"subject" "activity" "average" "variable"
1 "LAYING" -0.016553093978 "Time__Gyroscope___X_Mean"
1 "LAYING" -0.064486124088 "Time__Gyroscope___Y_Mean"
1 "LAYING" 0.14868943626 "Time__Gyroscope___Z_Mean"
1 "LAYING" -0.87354386782 "Time__Gyroscope___X_SD"
1 "LAYING" -0.9510904402 "Time__Gyroscope___Y_SD"
1 "LAYING" -0.9082846626 "Time__Gyroscope___Z_SD"
1 "LAYING" -0.874759548 "Time__Gyroscope__Magnitude__Mean"
1 "LAYING" -0.81901016976 "Time__Gyroscope__Magnitude__SD"
1 "LAYING" -0.107270949192 "Time__Gyroscope_Jerk__X_Mean"
1 "LAYING" -0.04151728689 "Time__Gyroscope_Jerk__Y_Mean"
1 "LAYING" -0.0740501211 "Time__Gyroscope_Jerk__Z_Mean"
1 "LAYING" -0.9186085208 "Time__Gyroscope_Jerk__X_SD"
1 "LAYING" -0.9679072436 "Time__Gyroscope_Jerk__Y_SD"
1 "LAYING" -0.9577901596 "Time__Gyroscope_Jerk__Z_SD"
1 "LAYING" -0.96346103 "Time__Gyroscope_Jerk_Magnitude__Mean"
1 "LAYING" -0.9358409828 "Time__Gyroscope_Jerk_Magnitude__SD"
1 "LAYING" 0.22159824394 "Time_Body_Accelerometer___X_Mean"
1 "LAYING" -0.0405139534294 "Time_Body_Accelerometer___Y_Mean"
1 "LAYING" -0.11320355358 "Time_Body_Accelerometer___Z_Mean"
1 "LAYING" -0.9280564692 "Time_Body_Accelerometer___X_SD"
1 "LAYING" -0.83682740562 "Time_Body_Accelerometer___Y_SD"
1 "LAYING" -0.826061401628 "Time_Body_Accelerometer___Z_SD"
1 "LAYING" -0.8419291525 "Time_Body_Accelerometer__Magnitude__Mean"
1 "LAYING" -0.79514486386 "Time_Body_Accelerometer__Magnitude__SD"
1 "LAYING" 0.0810865342 "Time_Body_Accelerometer_Jerk__X_Mean"
1 "LAYING" 0.0038382040088 "Time_Body_Accelerometer_Jerk__Y_Mean"
1 "LAYING" 0.010834236361 "Time_Body_Accelerometer_Jerk__Z_Mean"
1 "LAYING" -0.958482112 "Time_Body_Accelerometer_Jerk__X_SD"
1 "LAYING" -0.9241492736 "Time_Body_Accelerometer_Jerk__Y_SD"
1 "LAYING" -0.9548551108 "Time_Body_Accelerometer_Jerk__Z_SD"
1 "LAYING" -0.9543962646 "Time_Body_Accelerometer_Jerk_Magnitude__Mean"
1 "LAYING" -0.9282456284 "Time_Body_Accelerometer_Jerk_Magnitude__SD"
1 "LAYING" -0.24888179828 "Time_Gravity_Accelerometer___X_Mean"
1 "LAYING" 0.70554977346 "Time_Gravity_Accelerometer___Y_Mean"
1 "LAYING" 0.4458177198 "Time_Gravity_Accelerometer___Z_Mean"
1 "LAYING" -0.8968300184 "Time_Gravity_Accelerometer___X_SD"
1 "LAYING" -0.90772000676 "Time_Gravity_Accelerometer___Y_SD"
1 "LAYING" -0.85236629022 "Time_Gravity_Accelerometer___Z_SD"
1 "LAYING" -0.8419291525 "Time_Gravity_Accelerometer__Magnitude__Mean"
1 "LAYING" -0.79514486386 "Time_Gravity_Accelerometer__Magnitude__SD"
1 "LAYING" -0.850249174586 "Freq__Gyroscope___X_Mean"
1 "LAYING" -0.9521914948 "Freq__Gyroscope___Y_Mean"
1 "LAYING" -0.909302721 "Freq__Gyroscope___Z_Mean"
1 "LAYING" -0.8822964508 "Freq__Gyroscope___X_SD"
1 "LAYING" -0.9512320494 "Freq__Gyroscope___Y_SD"
1 "LAYING" -0.9165825082 "Freq__Gyroscope___Z_SD"
